Naam fonds,Categorie,Regio / provincie,Statutaire doelstelling (samenvatting),Doelgroep,Relevant voor welk type landgoedplan,Orde grootte bedrag,Aanvraagprocedure / deadlines,Vereiste documenten voor aanvraag,Contact,Bron (URL),Status / opmerking
M.A.O.C. Gravin van Bylandt Stichting,Landelijk vermogensfonds,Landelijk,"Financiële steun aan organisaties op cultureel en/of maatschappelijk gebied in Nederland, verdeeld over 5 categorieën: publicatie & educatie, dier/natuur & milieu, kunst & cultuur, mens & welzijn, restauraties & onderhoud.",Organisaties/stichtingen (geen particulieren),Restauratie & onderhoud van landgoedgebouwen; natuur/milieu-projecten,"Meestal bescheiden, aanvullend karakter (geen vast bedrag gepubliceerd)",Online aanvraag via bylandtstichting.nl/aanvraag-indienen,"Aanvraagbrief, projectplan, begroting, financieringsplan/dekkingsplan, KVK-uittreksel; bij restauratieprojecten: 'Calculatieformulier Restauraties'. Optioneel: jaarverslag/jaarrekening. Alleen via eigen online portaal (aanvragen.bylandtstichting.nl).","info@bylandtstichting.nl, 070-3246936 (di-do)",https://www.bylandtstichting.nl/over-de-stichting/,Aanvraagbaar. Bezit sinds 2026 zelf Landgoed Oostduin-Arendsdorp.
Nationaal Restauratiefonds - Restauratiefonds-hypotheek,Landelijk vermogensfonds (revolverend),Landelijk,"Laagrentende leningen voor onderhoud/restauratie van rijksmonumenten ('verstand van financieren, hart voor monumenten').",Particuliere eigenaren van rijksmonumenten,"Restauratie, verduurzaming, verbouwing, herbestemming van monumentale landgoedopstallen","€10.000 - €300.000 per monument, rente 2026 vanaf 1,4% (10 jr vast)","Account aanmaken, offerte, documenten, krediettoets, hypotheekakte; werk mag nog niet gestart zijn","Kostenraming/begroting door erkend inspecteur, geldige omgevingsvergunning (of verklaring dat niet nodig), identiteitsbewijs, inkomens-/werkgeversverklaring, bewijs opstalverzekering, 'Verklaring Instandhouding Rijksmonument'. Werk mag nog niet gestart zijn vóór toekenning.","088 253 90 00, financieringen@restauratiefonds.nl",https://www.restauratiefonds.nl/particulier/financieren/alle-financieringen/restauratiefonds-hypotheek,"Aanvraagbaar. Leningen, geen giften."
Fonds 1818,Landelijk/regionaal vermogensfonds,"19 gemeenten Zuid-Holland (Den Haag, Leiden, Wassenaar, Voorschoten e.o.)","Geld en ondersteuning aan organisaties/bewoners die zich inzetten voor een mooiere maatschappij, aandacht voor kwetsbare groepen.",Organisaties én individuele bewoners in het werkgebied,Sociaal-maatschappelijke en publieksprojecten op landgoed; natuur/groen,Niet gepubliceerd,Online quickscan; bewonersinitiatieven: vaste indiendata 1 aug / 1 nov / 1 feb / 1 mei,"Projectplan (aanleiding, doel, resultaten, doelgroep(en), samenwerkingspartners, sterke/zwakke punten, looptijd, verwacht bereik) + begroting in het onlineformulier. Project mag niet eerder starten dan 6 weken na indiening. Alleen via eigen onlineformulier of FindNFund, geen post/e-mail.","info@fonds1818.nl, 070 364 11 41",https://www.fonds1818.nl/over-fonds-1818/regiokaart,"Aanvraagbaar, alleen binnen werkgebied (relevant voor buitenplaatsen rond Wassenaar/Voorschoten)."
Nationaal Groenfonds,Landelijk vermogensfonds (revolverend),Landelijk,Verbeteren van de kwaliteit van de groene leefomgeving in Nederland via financiering (leningen).,Organisaties en ondernemingen (geen particulieren),Grootschalige natuurontwikkeling/biodiversiteit op landgoed,Minimale lening €200.000 (uitzonderingen bij specifieke deelfondsen),"Contact opnemen met investment manager, businessplan/begroting indienen",Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,"088 253 9255, info@nationaalgroenfonds.nl",https://www.nationaalgroenfonds.nl/financieringen-soorten-financieringen/,"Aanvraagbaar, alleen grootschalig; leningen geen giften."
VSBfonds,Landelijk vermogensfonds,Landelijk,Sociaal-maatschappelijke en culturele initiatieven ondersteunen; ook studiebeurzen.,Stichtingen/verenigingen met sociaal-maatschappelijk of cultureel doel,"Publieksprojecten, toegankelijkheid en cultuur op een landgoed",Niet gepubliceerd (quickscan bepaalt haalbaarheid),Quickscan → digitaal platform → volledige aanvraag → beoordeling,"Altijd: KVK-uittreksel, recent rekeningafschrift, projectplan, begroting + dekkingsplan. Boven €10.000 aanvullend: statuten, jaarverslag, jaarrekening. Boven €50.000: bestedingsverklaring; boven €100.000: accountantsverklaring. Verplichte 'quickscan' vooraf.",https://vsbfonds.nl/donaties/contact-voor-aanvragers,https://vsbfonds.nl/over-vsbfonds/aanvragen/veelgestelde-vragen-over-beleid,Aanvraagbaar.
Van Bijleveltstichting,Landelijk vermogensfonds (familiefonds),Landelijk,Geldelijke en zedelijke steun aan personen die een bestaan zoeken in de beoefening van schone kunsten en wetenschappen.,Individuele kunstenaars/wetenschappers aan begin loopbaan,Beperkt relevant: alleen als artistiek programma op landgoed een individuele kunstenaar ten goede komt,Niet gepubliceerd,Korte oriënterende e-mail zonder bijlagen; bestuur neemt vaak zelf initiatief,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,"t.a.v. mr. A.J. (Joost) Quant, voorzitter",https://vanbijleveltstichting.nl/doelstelling/,Beperkte relevantie voor landgoederen (geen vastgoed/restauratie).
Janivo Stichting,Landelijk vermogensfonds,Landelijk,"Steun voor jongeren en kinderen (0-30 jaar) op gebied van maatschappij, kunst en wetenschappelijk-medisch onderzoek.",Organisaties met projecten voor kinderen/jongeren,"Alleen relevant bij publieks-/educatieprojecten gericht op jeugd (natuureducatie, jeugdactiviteiten)","Giften tot €6.000 (hoger mogelijk, langere doorlooptijd); 1 gift/organisatie/jaar","Online voortoets, 1-2 mnd doorlooptijd (≤€6.000), 3-4 mnd bij grotere bedragen",Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,https://www.janivostichting.nl/contact,https://www.janivostichting.nl/aanvragen/,"Aanvraagbaar, smalle niche (jeugd)."
K.F. Hein Fonds,Regionaal vermogensfonds (familiefonds),Provincie Utrecht (nadruk stad Utrecht),De regio Utrecht mooier en sterker maken; eigen tak 'Monumenten' koopt/restaureert/verhuurt zelf monumenten (bezit 6 stuks).,"Stichtingen, verenigingen, kerkgenootschappen, individuen (studie/buurtinitiatieven)",Restauratie/aankoop/verhuur van monumenten en beeldbepalende panden in provincie Utrecht,Niet gespecificeerd; bevoorschotting tot 50% mogelijk,Digitaal aanvraagsysteem portaal.kfhein.nl; uitbetaling na projectafronding,"Projectplan (wat/waar/waarom/voor wie), begroting, financieringsplan, statuten, KVK-uittreksel (max. 12 mnd oud), recent financieel jaarverslag met balans. Uitsluitend via digitaal aanvraagsysteem (portaal.kfhein.nl) — e-mail/papier wordt niet in behandeling genomen. Max. 1 toekenning per kalenderjaar per organisatie.","hein@kfhein.nl, 030-232 21 14",https://kfhein.nl/wat-doen-wij/monumenten,Aanvraagbaar; financiert vaak ook eigen vastgoedportefeuille.
Elise Mathilde Fonds,Landelijk vermogensfonds,Landelijk,"Steunt instellingen met een algemeen sociaal, cultureel of ideëel doel; natuur als thema genoemd door derde bronnen.",Organisaties zonder winstoogmerk,"Sociaal-maatschappelijk, cultuur, mogelijk natuurprojecten",Niet bevestigd (website deels niet bereikbaar),Zie elisemathilde.nl/aanvragen/richtlijnen/,Niet onderzocht op documentvereisten — raadpleeg bronlink of neem contact op.,Zie elisemathilde.nl,https://elisemathilde.nl/aanvragen/richtlijnen/,Handmatig verifiëren — pagina was niet volledig op te halen.
Oranje Fonds,Landelijk vermogensfonds,Landelijk + Caribisch Koninkrijk,Projecten voor een sociaal verbonden samenleving.,Geregistreerde stichtingen/verenigingen; particulieren/bedrijven/overheden expliciet uitgesloten,"Sociale cohesie, vrijwilligersinzet, participatie-projecten op landgoed",Niet gespecificeerd,Doorlopend aan te vragen via mijn.oranjefonds.nl,"Statuten, KVK-uittreksel (max. 6 mnd oud), meest recente jaarrekening + jaarverslag, projectbegroting + dekkingsplan. Buurtinitiatieven zonder KVK: statuten/uittreksel niet nodig. Geen terugwerkende financiering (reeds gemaakte kosten tellen niet mee).",030-6564524,https://www.oranjefonds.nl/algemene-richtlijnen-en-voorwaarden,"Aanvraagbaar, alleen via ondersteunende stichting."
Stichting DOEN,Landelijk vermogensfonds,Landelijk,"Ondernemende, innovatieve oplossingen voor een betere wereld: regeneratieve economie (incl. landschapsherstel), solidaire samenleving, verbeeldingskracht van kunst.","Sociale ondernemers, kunstenaars, burgercollectieven, gemeenschapsinitiatieven",Landschapsherstel/regeneratieve landbouw op landgoed,Postcode Loterij Buurtfonds €500-€5.000; overige bedragen onbekend,"Account in 'Mijn DOEN'-portaal, online formulier","Eerst quickscan, dan volledige aanvraag via 'Mijn DOEN'-portaal. Exacte bijlagenlijst niet gepubliceerd — navragen bij het fonds.",Via doen.nl contactformulier,https://www.doen.nl/aanvraag-doen/,"Aanvraagbaar, minder gericht op monumentrestauratie."
Stichting Dioraphte,Landelijk vermogensfonds,Landelijk,"Financiële ondersteuning van behoud, herbestemming en ontsluiting van Nederlands materieel en immaterieel cultureel erfgoed.",Professioneel georganiseerde organisaties (bv. musea geregistreerd in Museumregister),"Restauratie monumenten (geen molens/orgels), archeologie, archieven, historische landschapsdocumentatie",Richt zich op 'middelgrote' projecten (bedrag niet gepubliceerd),Eerst vooraanvraag via dioraphte.nl/vooraanvraag/,"Vooraanvraag (geen bijlagen): korte projectomschrijving, doelgroep, indicatie bedrag, KVK-nummer, via aanvragen.dioraphte.nl. Bij uitnodiging volledige aanvraag: projectplan met organogram/cv's, gedetailleerde begroting, dekkingsplan, recente (gecontroleerde) jaarrekening, jaarverslag, KVK-uittreksel (<1 jaar), statuten, ANBI-bewijs, bankafschrift, ondertekende begeleidende brief. Alleen ANBI's; geen terugwerkende financiering; volledige aanvraag binnen 6 mnd na uitnodiging indienen.","Jaap Jan Steensma, jaapjan.steensma@dioraphte.nl",https://dioraphte.nl/cultureel-erfgoed/,Aanvraagbaar; in alle provincies genoemd als relevante aanvulling.
