Naam fonds,Categorie,Regio/provincie,Statutaire doelstelling,Doelgroep,Relevant voor welk type landgoedplan,Orde grootte bedrag,Aanvraagprocedure/deadlines,Vereiste documenten,Contact,Bron (URL),Status/opmerking,Type aanvrager,Verdienmodel voor landgoed
RCOAK,Landelijk vermogensfonds,Landelijk (nadruk Amsterdam voor armoededoel),Bevordert een waardig bestaan voor ouderen in Nederland en ondersteunt Amsterdammers met een krappe beurs; financiert o.a. eenzaamheidsbestrijding en zorginnovatie voor ouderen.,"Kwetsbare/eenzame ouderen, migranten-ouderen; Amsterdammers met laag inkomen","Groene zorg/dagbesteding, wandel- en beweegprogramma's, eenzaamheidsbestrijding op landgoed","Geen max.; in praktijk vaak tot €15.000, jaarlijks ca. €4,2 mln te verdelen","Quickscan via portal.rcoak.nl, dan volledige aanvraag; 8 rondes/jaar tot €15.000, 4x/jaar (apr/jun/okt/dec) voor grotere bedragen","Projectplan met kerncijfers, begroting met dekkingsplan, KvK-uittreksel, jaarrekening, statuten, IBAN","postbus@rcoak.nl, 020 623 22 88",https://rcoak.nl/,Geverifieerd via eigen website,Derde partij op landgoed,Locatievergoeding via begroting derde
Fonds Sluyterman van Loo,Landelijk vermogensfonds,Landelijk,"Bevordert kwaliteit van leven van kwetsbare ouderen via zingeving, waardigheid, autonomie en welbevinden (programma's Verbinding en Lang Leve de Kunst).",Kwetsbare ouderen,"Groene dagbesteding, wandel-/beweegprogramma's, kunst-/erfgoedactiviteiten voor ouderen op landgoed",Snelloket tot €3.000 voor pilots; gemiddeld toegekend bedrag ca. €7.000,"Online quickscan, daarna aanvraag; minimaal 3 bijeenkomsten vereist; deadlines niet gepubliceerd","Projectplan, begroting, verantwoording achteraf (niet volledig gepubliceerd)",Contactformulier via fondssluytermanvanloo.nl,https://www.fondssluytermanvanloo.nl/,Eigen site deels geblokkeerd door robots.txt; bedragen/deadlines nader te verifiëren,Derde partij op landgoed,Locatievergoeding via begroting derde
Kansfonds (voorheen Skanfonds),Landelijk vermogensfonds,Landelijk,"Werkt aan een samenleving met ruimte voor iedereen; innovatieve oplossingen voor dakloosheid, armoede/schulden en sociale uitsluiting.","Daklozen, mensen in armoede, slachtoffers geweld/mensenhandel, ex-gedetineerden, vluchtelingen","Re-integratietrajecten in het groen (werkervaring dak-/thuislozen, ex-gedetineerden) op landgoed; sluit ""primair natuur/cultuur/educatie""-projecten uit",Niet gepubliceerd,Contactformulier of voorlopige aanvraag via portal; doorlopend,Niet gepubliceerd op richtlijnenpagina,"info@kansfonds.nl, 035 624 96 51",https://www.kansfonds.nl/aanvragen/richtlijnen/,Let op expliciete uitsluiting van natuur/cultuur/educatieprojecten,Derde partij op landgoed,Locatievergoeding via begroting derde
FNO (Fonds NutsOhra),Landelijk vermogensfonds,Landelijk,"Verbetert gezondheid, kwaliteit van leven en toekomstperspectief van kwetsbare mensen via meerjarige thematische programma's.","Mensen met langdurige gezondheidsbeperking, jongvolwassenen met psychische kwetsbaarheid, kwetsbare gezinnen",Groene zorg/welzijnsinnovatie op landgoed binnen lopend thematisch programma,"Programma's van €9,2 - €50 mln over meerdere jaren (grootschalig)","Per programma andere oproepen/calls, vaak invitational of periodieke ronden","Programma-specifiek, niet gepubliceerd",Via eigen site,https://www.fondsenwerving-nederland.nl/vermogensfondsen/landelijke-vermogensfondsen/fno-fonds-nutsohra/,"Nader te verifiëren; grootschalig/programmatisch, minder geschikt voor kleine losse landgoedaanvraag",Derde partij op landgoed,Locatievergoeding via begroting derde
"Fundatie Van den Santheuvel, Sobbe",Regionaal vermogensfonds (koepel van dertien fondsen),Amsterdam e.o. (vanaf 1-1-2027 uitsluitend Amsterdam),"Steunt organisaties die mensen helpen bij maatschappelijke moeilijkheden, gericht op participatie, integratie en zelfredzaamheid.","Jongeren, ouderen, kwetsbare groepen (schulden, taalbarrière, beperking)","Dagbesteding/re-integratie in het groen, jeugdzorgprogramma's op landgoed bij Amsterdam",Circa €1.000 tot enkele tienduizenden euro's,Aanvraag via website met projectplan; doorlopend,"Projectplan, begroting/dekkingsplan, statuten, KvK-uittreksel, recente jaarrekening","info@fundatiesobbe.nl, Amsterdam",https://www.fundatiesobbe.nl/,Geverifieerd; geografische focus versmalt per 2027 tot Amsterdam,Derde partij op landgoed,Locatievergoeding via begroting derde
Van der Mandele Stichting,Regionaal vermogensfonds,"Zuid-Holland (voorkeur Delft, Dordrecht, Leiden, Rotterdam)","Ondersteunt instellingen met positieve bijdrage op sociaal en cultureel gebied, voorkeur voor open/publiek toegankelijke initiatieven.","Brede lokale gemeenschap, organisaties met maatschappelijke/culturele impact","Leefbaarheids-/gemeenschapsprojecten op of rond landgoed, publieksevenementen, sociale cohesie",Voorkeur voor aanvragen tot €5.000 (hoger mogelijk),Aanvraag via website; evenementen min. 9 maanden vooraf indienen,Niet volledig gepubliceerd,Contactpagina op vandermandele.org,https://vandermandele.org/richtlijnen-giften.html,Geverifieerd,Beide mogelijk,Locatievergoeding via begroting derde
Stichting Boschuysen,Landelijk vermogensfonds,Landelijk (kantoor Den Haag),"Bevordert opvang, verzorging, opvoeding, scholing en ontwikkeling van jongeren tot 30 jaar die maatschappelijk hulp van derden nodig hebben.",Jongeren tot 30 jaar met behoefte aan maatschappelijke ondersteuning,"Jeugdzorg-/re-integratieprogramma's in het groen, buitenprogramma's voor kwetsbare jongeren op landgoed",Niet gepubliceerd,Aanvraag volgens procedure/voorwaarden op website,Niet volledig gepubliceerd,"administratie@boschuysen.nl, 070 324 89 88",https://boschuysen.nl/doelstelling/,Geverifieerd; bedragen/deadlines nader te verifiëren,Derde partij op landgoed,Locatievergoeding via begroting derde
Univé Buurtfonds,Coöperatief/regionaal donatie-instrument,"Regionaal, per Univé-kring (versnipperd over NL)","Steunt buurtinitiatieven die bewoners samenbrengen, verbinding stimuleren en blijvende positieve impact hebben in de buurt.",Buurtbewoners en lokale (bewoners)organisaties,"Buurttuin, speel-/beweegplek, ontmoetingsruimte of bankje op/bij landgoed als leefbaarheidsproject","10-75% van begroting, max. €100.000; deelbudgetten bijv. max. €5.000 (speel-/beweegplek, buurttuin), max. €600 (bankje)","Online projectcheck, plan + begroting via buurtfonds.unive.nl; min. 25% eigen bijdrage","Projectplan (doelen, doelgroep, activiteiten, planning), begroting",Via buurtfonds.unive.nl,https://buurtfonds.unive.nl/voorwaarden,Geverifieerd; regiodekking per Univé-kring nader te verifiëren,Beide mogelijk,Directe subsidie aan landgoed
Jantjes Scouting Fonds,Landelijk donatie-instrument (Jantje Beton + Scouting Nederland),Landelijk,Financiert duurzame investeringen in nieuw-/verbouwprojecten en vernieuwing van buiten(speel)ruimtes van scoutinggroepen.,Scoutinggroepen in Nederland,Landgoederen die scoutinggroepen huisvesten of buitenspeel-/kampeerterrein beschikbaar stellen,Niet gepubliceerd,Aanvraagformulier via scouting.nl,Aanvraagformulier (PDF op scouting.nl),"Scouting Nederland, 033 496 09 11",https://www.scouting.nl/nieuws/jantje-beton-en-scouting-nederland-lanceren-jantjes-scouting-fonds,Nader te verifiëren (bedragen/scope niet volledig te bevestigen),Derde partij op landgoed,Locatievergoeding via begroting derde
Stichting Kinderpostzegels Nederland (subsidieprogramma),Landelijk vermogensfonds,Landelijk,"Biedt ontwikkelingskansen aan kwetsbare kinderen (opvang, pleegzorg, trauma) via onderwijs- en veerkrachtprojecten.",Kwetsbare kinderen,Buitenles-/veerkrachtprogramma's voor kwetsbare kinderen op landgoed,Niet gepubliceerd,Doorlopend (jaar rond); aanvraag door stichtingen/verenigingen via kinderpostzegels.nl,Niet volledig gepubliceerd,Via kinderpostzegels.nl,https://www.kinderpostzegels.nl/subsidieaanvraag/aanvraag,Deels geverifieerd; bedragen nader te verifiëren,Derde partij op landgoed,Locatievergoeding via begroting derde
Stichting Fondsenbeheer Landbouw en Zorg (SFLZ),Landelijk sectorfonds,Landelijk,"Stelt geld en kennis beschikbaar aan zorgboerderijen via donaties, leningen en kennisdeling, ter versterking van de zorglandbouwsector.","Zorgboerderijen/zorglandgoederen; eindgebruikers o.a. jongeren met gedragsproblemen, ouderen met dementie, mensen met psychiatrische achtergrond of verstandelijke beperking, werklozen","Zorglandgoed/dagbesteding, regionale samenwerking tussen zorgboerderijen en landgoederen",Niet gepubliceerd,Eerste contact per e-mail; beoordeling op negen criteria,Niet volledig gepubliceerd,"info@fondslandbouwenzorg.nl, Leiden",https://www.fondslandbouwenzorg.nl/aanvragen/,Geverifieerd; bedragen/deadlines nader te verifiëren,Landgoedeigenaar zelf / Derde partij op landgoed,Directe subsidie aan landgoed
